"NAME of Museum/Art Organization/Institution. Or REGION, MUSEUM TYPE, or # OF EMPLOYEES AT ORG (all museum types, profit/non-profit galleries, sizes, countries, warmly welcomed)",Role ,Department,City,Country,Starting salary ,Year of starting salary ,Current (2019) or Ending Salary,Hourly (H) /  Permanent (P) / Contingent/Finite Term Employment (C) ,"If part-time / Hourly (H) / Contingent/Finite Term Employment (C), how many hours/week",Benefits?,"Year this salary was current (if a current salary, put 2019)",Years of experience in field at time of current salary listed,Parental leave policy at organization (+ who is eligible),"Optional: Identify your gender or preferred pronouns--ND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Optional: Identify your race with your preferred designation AND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Degrees required for position when hired/If applicable, if institution helped pay for furthering your education",Visa sponsorship paid/facilitated by organization,Notes
Christie's,Work Experience Program Intern,specialist department,New York,USA,$9/hr,2016,$9/hr,H/C,40,none,2016,,,(cis) female,white,BA,n/a,"Regular staff members are expected to work more than 40 hours a week. When I tried to do the same in an effort to fit in with the culture, I was explicitly told to stop because they would have to pay me. In reality, I already didn't bill most of those surplus hours, and another intern *was* allowed and even expected to work overtime and to bill the hours."
University of Michigan Museum of Art,Senior Manager of Museum Technology,Museum Technology,Ann Arbor,US,"69,000","$2,012.00 ","82,810",P,,"Health, Dental, Vision, PTO, Sick Time",2019,14,12,6 week paid maternity leave + 6 weeks paid parental leave,White,,,
[Art Museum],Supervisor,Security,Seattle,USA,$14/hr,"$2,017.00 ",$17.63 ,Hourly,~40hrs,"Health insurance, vision, dental",2019,5,Maternity/some paternity available for some employees,“Male” & he/him; they/them,White,"No specific degree required, but management generally seeks folks with artistic education backgrounds.",N/A,
"Museum of Fine Arts, Boston",Member and Visitor Services Representative,Member and Visitor Services,Boston,United States,28k,2015,28k,Hourly,,"Health insurance, paid vacation",2018,5years,,AFAB,White,Bachelors ,,"Everyone in this position was extremely over qualified. At this particular institution it was discouraged by management to try and seek other positions within the museum. There was not upward mobility or upward transitioning. Employee retention was impossible given the low pay, caustic work environment, and a non-set schedule. "
Drexel University- Pearlstein Gallery,Gallery Exhibitions Coordinator,Administration,Philadelphia,United States,"$39,999.00 ","$2,016.00 ","$41,000.00 ",P,,Yes,2019,5,up to 12 weeks for both parents,"AFAB non-binary, cis female passing,  pronouns interchangeable ",white,Masters Preferred. Received tuition remission after 1 year to complete MS degree,,
HYDE PARK ART CENTER,Residency and Public Programs Manager,Exhibitions & Residency & Public Programs ,Chicago,United States,40k,"$2,018.00 ",40k,FT ,"Was Contracted employee for 3 years @ 22 hours a week 20k with no benefits, had to layaway tax money while working for another non-profit on W9","Yes (However, only have them as FT, not the 3 years I was a contracted PT worker, insurance does not cover my HRT prescriptions) ",2019,7,"Yes, not certain (","AGENDER, THEY/THEM",White,MA,,
School of the Art Institute of Chicago ,"Adjunct, mainstream inclusion facilitator",Continuing education,Chicago ,USA,$10 per hour,1991,$10 per hour (1992),Hourly,5-Mar,No paid leave or health insurance. I was able to take one continuing education class for free each semester I was working. The job continued through the summer. There was unpaid leave between terms. ,1992,2 years as a paid graduate assistant in this same program. ,No info. ,"Born Female, identifies as gender neutral. Still used female pronouns. ",3rd generation “American” of European lineage,I was hired with a new MA. ,N/A,"I so loved this job and still miss it. The pay rate was adequate for the time and I could have lived on it, if I had had more hours. I supplemented with other work but it was ultimately not sustainable, especially afterstudent loan payments began.  

A position of expanded responsibility and hours at SAIC was in the process of being created and my filling that position was informally promised. But, I did not have enough savings or free lance earnings for treading water as long as that process took. 

One of my classmates who was from the area got the job I worked to create, replacing me after I moved away from Chicago for my first full time job as an Art Therapist in my home town. Studying and working at SAIC was my “dream come true”.  Leaving because I did not have enough hours or enough of a financial reserve to weather the slow moving machinery of starting something new was heartbreaking. That the program I worked in as the first facilitator for autistic and special needs individuals to join in museum education outreach programs is still running 30 years later is certainly something to be proud of. A child I saw there at age 5 still attends every weekend on scholarship, as he has for the last 30 years. I still wonder what my life would be like had I been able to finance staying through the unpredictable stages of SAIC securing long term program funding. 

I’m so happy our wonderful program actually found the support it deserved and is running all these years later! But, I’m writing about this now as it might shed light on how individuals who invest heavily of time and expertise in starting good things deserve to be supported for their contributions as much as the institution itself and participants do. Adequate pay per contact hour is one very important thing. But there’s more to consider by way of fairness and sustainability inside arts institutions. Workers, in truth, are neither interchangeable or expendable. "
"National Gallery of Art, USA",Cashier (sales store checker),Museums Shops,"Washington, DC",USA,$9.00 per hour,1998,$9.00 (2000),Hourly pay. Permanent employee status after 6 months,40,"Yes. Health Insurance, sick leave, 1 week paid vacation, overtime at “time and a half”",2000,"6 years customer service, 2 years adjunct in CE at SAIC, 6 years full time Art Therapy before this position. ",Don’t know. Not an issue for me. ,"Born Female, still Female",3rd generation American of European and Eastern European descent,"BFA preferred. I had a BFA in painting, minor in Art History, BA in graphic design and an MA in Art Therapy when I was hired ",No,"I Loved the work environment and inspiring colleagues at NGA. The stability was wonderful as was the exceptionally high quality health insurance. I left because the pay was not enough despite a raise structure and the government level/seniority system which gives one hope of security. There were options to move up and I was offered a position in administration but a position in art therapy came up at double the admin salary, plus the AT position had an academic schedule that provided more paid vacation time and summers off. Part of me still sometimes regret not staying at NGA even at the lower pay, the environment was just so great. But the longer I stayed the deeper the ripple effects of the low pay. Also, I had orthopedic issues in a position that required standing most of the time, lifting boxes of merchandise and other physically demanding tasks. Even with fair accommodations in place for appropriate-for-my age and condition duties the combination of factors was not sustainable. "
[DC-Area State University Gallery],Manager,,,USA,"51,000",2018,"52,200",P,,Full state benefits ,2019,7,"60-day assured, paid parental leave for full time staff (part time staff have prorated leave)",cis female,white,"BA, institution will pay for further degrees and education (University policy)",,"This position also shares responsibility in managing an educational arts space; only one professional staff member, remaining staff are graduate and undergraduate students, but has support from other University departments in operations (marketing, finance, etc)"
"[PNW, Art Museum]",Graphic Designer,Marketing,,USA,"52,000",2018,"52,000","Permanent, exempt",,"Medical, dental, vision, life insurance",2019,7,,Cis female,Latinx,Bachelors,,
Field Museum,Collections Assistant,,Chicago,USA,"30,940","$2,017.00 ","31,486",H,35,"Yes, health/life/vision/dental - the plans that are affordable at this hourly rate have high deductibles ",2019,11,"8 weeks, both parents allowed to take parental leave",Cis female,White,Master's degree preferred; museum helps sponsor furthering education but strict about what qualifies as this,,
"[Midwest Ethnic Museum, 25 employees]",Curator,Curatorial,,USA,"35,000","$2,009.00 ","$48,000.00 ",P,,"medical, dental, vision, 403b",2019,15,FMLA only,cis female,,"B.A., M.A. preferred. ",,
[Academic Art Museum],Registrar,Collections and Exhibitions,"Portland, OR",USA,"$50,000 ","$2,010.00 ","$62,000 ",(P),,yes,2019,16,12 weeks unpaid,cis female,white,MA,,
